DATETIME,price
2020-07-28,1.7925
2020-07-29,1.6575
2020-07-30,1.6775
2020-07-31,1.52
2020-08-01,1.5275
2020-08-02,1.73
2020-08-03,1.8
2020-08-04,1.86
2020-08-05,1.7575
2020-08-06,2.19
2020-08-07,2.08
2020-08-08,2.47
2020-08-09,2.6475
2020-08-10,3.13
2020-08-11,3.2925
2020-08-12,3.73
2020-08-13,3.7025
2020-08-14,3.425
2020-08-15,3.165
2020-08-16,3.37
2020-08-17,3.1075
2020-08-18,3.3325
2020-08-19,2.94
2020-08-20,3.2
2020-08-21,3.005
2020-08-22,3.045
2020-08-23,3.3
2020-08-24,3.3375
2020-08-25,3.25
2020-08-26,3.555
2020-08-27,3.4475
2020-08-28,4.0025
2020-08-29,3.95
2020-08-30,4.4225
2020-08-31,4.75
2020-09-01,4.32
2020-09-02,4.1775
2020-09-03,3.5175
2020-09-04,3.5175
2020-09-05,2.575
2020-09-06,3.05
2020-09-07,2.9425
2020-09-08,2.465
2020-09-09,3.6
2020-09-10,3.46
2020-09-11,3.41
2020-09-12,3.35
2020-09-13,3.27
2020-09-14,3.2775
2020-09-15,2.93
2020-09-16,2.545
2020-09-17,2.9075
2020-09-18,3.12
2020-09-19,3.02
2020-09-20,2.8925
2020-09-21,2.78
2020-09-22,2.915
2020-09-23,2.85
2020-09-24,3.145
2020-09-25,3.21
2020-09-26,3.14
2020-09-27,3.16
2020-09-28,2.96
2020-09-29,2.96
2020-09-30,2.9
2020-10-01,2.88
2020-10-02,2.6275
2020-10-03,2.5575
2020-10-04,2.5275
2020-10-05,2.6675
2020-10-06,2.18
2020-10-07,2.3025
2020-10-08,2.385
2020-10-09,2.545
2020-10-10,2.3975
2020-10-11,2.44
2020-10-12,2.5775
2020-10-13,2.4075
2020-10-14,2.3075
2020-10-15,2.26
2020-10-16,2.14
2020-10-17,2.205
2020-10-18,2.2125
2020-10-19,2.065
2020-10-20,1.8875
2020-10-21,1.8875
2020-10-22,1.965
2020-10-23,1.965
2020-10-24,1.9125
2020-10-25,1.795
2020-10-26,1.6775
2020-10-27,1.7125
2020-10-28,1.53
2020-10-29,1.435
2020-10-30,1.45
2020-10-31,1.55
2020-11-01,1.6025
2020-11-02,1.4825
2020-11-03,1.4125
2020-11-04,1.3975
2020-11-05,1.4
2020-11-06,1.91
2020-11-07,2.025
2020-11-08,2.1675
2020-11-09,2.0275
2020-11-10,2.26
2020-11-11,2.005
2020-11-12,1.9
2020-11-13,2.02
2020-11-14,1.925
2020-11-15,2.035
2020-11-16,2.26
2020-11-17,2.195
2020-11-18,2.11
2020-11-19,2.0675
2020-11-20,2.11
2020-11-21,2.39
2020-11-22,2.15
2020-11-23,2.28
2020-11-24,2.28
2020-11-25,2.28
2020-11-26,1.91
2020-11-27,1.87
2020-11-28,1.8975
2020-11-29,1.915
2020-11-30,1.9775
2020-12-01,1.995
2020-12-02,2.1225
2020-12-03,2.1
2020-12-04,1.8575
2020-12-05,1.9775
2020-12-06,1.8575
2020-12-07,1.835
2020-12-08,1.6775
2020-12-09,1.6675
2020-12-10,1.58
2020-12-11,1.445
2020-12-12,1.505
2020-12-13,1.575
2020-12-14,1.5975
2020-12-15,1.765
2020-12-16,1.795
2020-12-17,1.69
2020-12-18,1.7
2020-12-19,1.6775
2020-12-20,1.575
2020-12-21,1.545
2020-12-22,1.4975
2020-12-23,1.2325
2020-12-24,1.37
2020-12-25,1.4475
2020-12-26,1.3425
2020-12-27,1.305
2020-12-28,1.52
2020-12-29,1.685
2020-12-30,1.5325
2020-12-31,1.505
2021-01-01,1.8475
2021-01-02,1.7975
2021-01-03,2.1725
2021-01-04,2.49
2021-01-05,2.16
2021-01-06,1.915
2021-01-07,2.37
2021-01-08,3.2175
2021-01-09,3.37
2021-01-10,3.4525
2021-01-11,3.0975
2021-01-12,3.645
2021-01-13,3.525
2021-01-14,3.295
2021-01-15,3.2475
2021-01-16,3.4325
2021-01-17,3.8175
2021-01-18,3.79
2021-01-19,3.6325
2021-01-20,3.7225
2021-01-21,2.995
2021-01-22,3.3425
2021-01-23,3.5025
2021-01-24,3.6325
2021-01-25,3.6975
2021-01-26,4.05
2021-01-27,3.6875
2021-01-28,3.81
2021-01-29,3.8325
2021-01-30,4.2125
2021-01-31,4.2625
2021-02-01,4.615
2021-02-02,5.2425
2021-02-03,5.7275
2021-02-04,6.4225
2021-02-05,6.6825
2021-02-06,6.1175
2021-02-07,6.6875
2021-02-08,7.905
2021-02-09,7.85
2021-02-10,9.0475
2021-02-11,9.2375
2021-02-12,9.25
2021-02-13,8.7225
2021-02-14,8.7175
2021-02-15,8.81
2021-02-16,8.31
2021-02-17,8.2525
2021-02-18,9.0125
2021-02-19,11.475
2021-02-20,9.985
2021-02-21,11.0875
2021-02-22,14.3775
2021-02-23,15.22
2021-02-24,17.3125
2021-02-25,13.8775
2021-02-26,13.625
2021-02-27,13.165
2021-02-28,13.075
2021-03-01,14.98
2021-03-02,13.975
2021-03-03,14.1125
2021-03-04,13.0725
2021-03-05,12.605
2021-03-06,13.06
2021-03-07,13.8175
2021-03-08,13.6125
2021-03-09,14.835
2021-03-10,14.2275
2021-03-11,16.0225
2021-03-12,14.6025
2021-03-13,15.3125
2021-03-14,14.47
2021-03-15,14.1825
2021-03-16,13.6375
2021-03-17,14.235
2021-03-18,14.22
2021-03-19,14.1475
2021-03-20,14.175
2021-03-21,14.33
2021-03-22,14.8025
2021-03-23,14.16
2021-03-24,13.605
2021-03-25,12.995
2021-03-26,14.7675
2021-03-27,16.465
2021-03-28,18.0725
2021-03-29,18.9375
2021-03-30,19.065
2021-03-31,19.39
